subject_id,valid_error_count,valid_correct_count,ERN_error_uv,CRN_correct_uv,DeltaERN_error_minus_correct_uv,DeltaERN_correct_minus_error_uv,qc_min_error_trials_pass,qc_min_correct_trials_pass
sub-001,26,134,-3.1122388932145606,-0.5093724916178825,-2.6028664015966783,2.6028664015966783,1,1
sub-002,26,134,-1.65674751379717,-0.9658739729717682,-0.6908735408254016,0.6908735408254016,1,1
sub-003,20,140,-3.389700606986645,-0.18320978673873262,-3.2064908202479123,3.2064908202479123,1,1
sub-004,29,131,-1.8289483866888896,-0.6312752794633658,-1.1976731072255238,1.1976731072255238,1,1
sub-005,29,131,-2.910848217300602,-1.1175058028526832,-1.7933424144479189,1.7933424144479189,1,1
sub-006,38,122,-0.8906017730372409,-0.7804904918663595,-0.11011128117088131,0.11011128117088131,1,1
sub-007,27,133,-2.802544160728556,-0.7600675905683876,-2.0424765701601686,2.0424765701601686,1,1
sub-008,24,136,-2.036371604549666,-0.24063687372277082,-1.795734730826895,1.795734730826895,1,1
sub-009,31,129,-2.0864372336446624,-0.5136311513971847,-1.5728060822474776,1.5728060822474776,1,1
sub-010,26,134,-2.1324747083319147,-0.24367758594012562,-1.888797122391789,1.888797122391789,1,1
sub-011,31,129,-3.815698061878323,-0.4267011659856674,-3.3889968958926557,3.3889968958926557,1,1
sub-012,27,133,-1.696063137254173,-0.5692225678638049,-1.1268405693903683,1.1268405693903683,1,1
sub-013,32,128,-4.291865766181316,-0.66572144470756,-3.626144321473756,3.626144321473756,1,1
sub-014,31,129,-1.5223992969588134,-0.22403154623584282,-1.2983677507229705,1.2983677507229705,1,1
sub-015,29,131,-2.3891483358377226,-0.6481157569771446,-1.7410325788605778,1.7410325788605778,1,1
sub-016,38,122,-2.022331291252813,-0.008045983368949879,-2.014285307883863,2.014285307883863,1,1
sub-017,30,130,-1.772707791942537,-0.519259369783139,-1.2534484221593978,1.2534484221593978,1,1
sub-018,23,137,-1.495030984776035,-0.4971553742962677,-0.9978756104797672,0.9978756104797672,1,1
sub-019,20,140,-1.0184980858563166,-0.3422295621055704,-0.6762685237507462,0.6762685237507462,1,1
sub-020,21,139,-2.008157929026428,-0.47927527034316597,-1.528882658683262,1.528882658683262,1,1
sub-021,22,138,-2.6756463319618264,-0.44986588051931786,-2.2257804514425086,2.2257804514425086,1,1
sub-022,30,130,-3.2020536742400467,-0.6156367209892768,-2.5864169532507697,2.5864169532507697,1,1
sub-023,31,129,-1.108575232665616,-0.8189515762292428,-0.2896236564363732,0.2896236564363732,1,1
sub-024,23,137,-1.2082446920866938,-0.4601300209267109,-0.7481146711599829,0.7481146711599829,1,1
sub-025,33,127,-2.4209495242251893,-0.3983194210733836,-2.0226301031518057,2.0226301031518057,1,1
sub-026,24,136,-1.8015389912573063,-0.6968696987683226,-1.1046692924889836,1.1046692924889836,1,1
sub-027,32,128,-3.1902621264609703,-0.7925929515554471,-2.3976691749055234,2.3976691749055234,1,1
sub-028,29,131,-1.4238780410806533,0.23218040182317634,-1.6560584429038296,1.6560584429038296,1,1
sub-029,31,129,-3.427490009382349,-0.3085451331110353,-3.1189448762713137,3.1189448762713137,1,1
sub-030,33,127,-3.1663815604963386,-0.4829874743705338,-2.683394086125805,2.683394086125805,1,1
sub-031,24,136,-2.734673956158428,-0.8704887029996383,-1.8641852531587895,1.8641852531587895,1,1
sub-032,27,133,-0.7657964934465035,-0.7822883510337841,0.016491857587280667,-0.016491857587280667,1,1
sub-033,33,127,-1.1469775607576145,-0.7579917102208222,-0.38898585053679224,0.38898585053679224,1,1
sub-034,39,121,-2.829187604411541,-0.7580508438868995,-2.0711367605246416,2.0711367605246416,1,1
sub-035,27,133,-1.6232089042159585,-1.053986478503677,-0.5692224257122815,0.5692224257122815,1,1
sub-036,24,136,-0.4351279550662938,-0.02801056525713972,-0.4071173898091541,0.4071173898091541,1,1
sub-037,24,136,-1.967005278672163,-0.3468878745090636,-1.6201174041630995,1.6201174041630995,1,1
sub-038,21,139,-1.772744783932448,-0.7878511702881407,-0.9848936136443073,0.9848936136443073,1,1
sub-039,36,124,-0.7491441780656583,-0.7611724947223587,0.012028316656700455,-0.012028316656700455,1,1
sub-040,25,135,-1.747158891544587,-0.6646537566413354,-1.0825051349032515,1.0825051349032515,1,1
