subject_id,valid_error_count,valid_correct_count,qc_min_error_trials_pass,qc_min_correct_trials_pass
sub-001,26,134,1,1
sub-002,26,134,1,1
sub-003,20,140,1,1
sub-004,29,131,1,1
sub-005,29,131,1,1
sub-006,38,122,1,1
sub-007,27,133,1,1
sub-008,24,136,1,1
sub-009,31,129,1,1
sub-010,26,134,1,1
sub-011,31,129,1,1
sub-012,27,133,1,1
sub-013,32,128,1,1
sub-014,31,129,1,1
sub-015,29,131,1,1
sub-016,38,122,1,1
sub-017,30,130,1,1
sub-018,23,137,1,1
sub-019,20,140,1,1
sub-020,21,139,1,1
sub-021,22,138,1,1
sub-022,30,130,1,1
sub-023,31,129,1,1
sub-024,23,137,1,1
sub-025,33,127,1,1
sub-026,24,136,1,1
sub-027,32,128,1,1
sub-028,29,131,1,1
sub-029,31,129,1,1
sub-030,33,127,1,1
sub-031,24,136,1,1
sub-032,27,133,1,1
sub-033,33,127,1,1
sub-034,39,121,1,1
sub-035,27,133,1,1
sub-036,24,136,1,1
sub-037,24,136,1,1
sub-038,21,139,1,1
sub-039,36,124,1,1
sub-040,25,135,1,1
